rank,Freq
1,37435191
2,29399141
3,26317104
4,21846507
5,21671908
6,20484965
7,20283552
8,20185064
9,20035455
10,19222665
11,15741406
12,15354067
13,15057273
14,14967667
15,14755186
16,13903620
17,13743278
18,13698889
19,13396402
20,13374275
21,12967862
22,12476171
23,12188196
24,12128721
25,11882666
26,10958187
27,10779376
28,10711243
29,10638689
30,10554712
31,10350204
32,9962393
33,9741397
34,9532059
35,9176530
36,9013663
37,8971839
38,8601186
39,8266273
40,8044735
41,7868633
42,7780301
43,7722254
44,7490776
45,7437993
46,7378500
47,7257143
48,7070665
49,7069012
50,6974439
51,6873756
52,6723516
53,6703499
54,6559041
55,6451618
56,6368272
57,6249824
58,6139404
59,6028319
60,5868104
61,5677921
62,5635127
63,5541127
64,5540084
65,5499117
66,5458521
67,5426959
68,5243989
69,5205402
70,5182450
71,5131377
72,5100527
73,5058550
74,5017996
75,4914633
76,4870388
77,4859432
78,4792864
79,4558991
80,4556381
81,4524111
82,4522216
83,4460622
84,4361480
85,4335924
86,4332263
87,4249233
88,4234019
89,4195523
90,4189926
91,4115354
92,4110366
93,4096962
94,4077746
95,4057841
96,4031021
97,4025753
98,3966906
99,3965588
100,3905598
101,3822425
102,3817938
103,3812262
104,3807407
105,3796634
106,3743602
107,3716093
108,3651537
109,3608056
110,3589795
111,3556792
112,3536119
113,3521172
114,3498645
115,3485364
116,3465633
117,3463855
118,3385342
119,3364657
120,3285328
121,3279160
122,3276733
123,3255911
124,3245021
125,3226249
126,3210386
127,3205586
128,3198981
129,3169457
130,3154152
131,3152482
132,3145456
133,3137690
134,3136077
135,3100285
136,3095118
137,3057065
138,3052493
139,3007613
140,2969638
141,2946158
142,2942097
143,2921630
144,2920761
145,2911784
146,2891230
147,2890965
148,2874373
149,2873322
150,2833079
151,2782612
152,2754078
153,2729325
154,2713233
155,2713112
156,2710074
157,2704187
158,2679044
159,2667852
160,2652720
161,2646619
162,2628413
163,2615154
164,2596275
165,2560068
166,2557561
167,2555884
168,2537652
169,2529328
170,2490334
171,2476928
172,2475208
173,2472612
174,2451375
175,2444934
176,2442581
177,2441944
178,2412532
179,2410875
180,2406875
181,2377495
182,2372335
183,2359480
184,2353637
185,2333106
186,2327822
187,2317722
188,2313138
189,2311242
190,2310522
191,2308076
192,2307615
193,2279906
194,2245912
195,2218693
196,2217749
197,2216713
198,2209367
199,2199133
200,2195560
201,2191906
202,2179855
203,2168960
204,2159903
205,2142760
206,2138419
207,2133382
208,2124948
209,2108509
210,2107309
211,2103506
212,2099308
213,2099293
214,2089157
215,2086356
216,2085969
217,2065284
218,2039962
219,2016677
220,2016415
221,2014015
222,2008598
223,2004888
224,1975188
225,1972432
226,1951161
227,1946377
228,1932104
229,1915338
230,1889824
231,1889233
232,1876402
233,1876395
234,1872844
235,1864851
236,1862809
237,1846864
238,1834093
239,1832670
240,1830424
241,1822437
242,1821693
243,1821247
244,1812290
245,1810606
246,1809304
247,1801979
248,1791120
249,1785310
250,1784942
251,1777511
252,1775933
253,1763913
254,1761551
255,1760698
256,1749869
257,1715058
258,1711356
259,1704738
260,1704385
261,1701797
262,1693463
263,1676912
264,1676132
265,1668740
266,1667798
267,1666632
268,1665859
269,1663153
270,1650185
271,1639138
272,1631785
273,1631153
