tweetid	tweet	tokens	langid	sentiment
1	With this LG G Watch you can be livin’ la vida of a secret agent … or at least look like it. http://t.co/FtlWydFEpC http://t.co/IVTb2dosL2	['With', 'this', 'LG', 'G', 'Watch', 'you', 'can', 'be', 'livin', '’', 'la', 'vida', 'of', 'a', 'secret', 'agent', '…', 'or', 'at', 'least', 'look', 'like', 'it', '.', 'http://t.co/FtlWydFEpC', 'http://t.co/IVTb2dosL2']	['lang1', 'lang1', 'ne', 'ne', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'other', 'other']	positive
2	"RT @giovaavictoriaa: *silently whispers ""buen provecho"" to myself because i'm surrounded by americans*"	"['RT', '@giovaavictoriaa', ':', '*', 'silently', 'whispers', '""', 'buen', 'provecho', '""', 'to', 'myself', 'because', 'i', ""'m"", 'surrounded', 'by', 'americans', '*']"	['other', 'other', 'other', 'other', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	negative
3	RT @samanthvgh: 62. Sorry this took so long! Ya boy Zuko, we all lowkey loved him https://t.co/qMVOjfBPbq	['RT', '@samanthvgh', ':', '62', '.', 'Sorry', 'this', 'took', 'so', 'long', '!', 'Ya', 'boy', 'Zuko', ',', 'we', 'all', 'lowkey', 'loved', 'him', 'https://t.co/qMVOjfBPbq']	['other', 'other', 'other', 'other', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang1', 'ne', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
4	RT @alebberrios: Goals de este año: ir a un concierto de Coldplay o si no me da algo!!	['RT', '@alebberrios', ':', 'Goals', 'de', 'este', 'año', ':', 'ir', 'a', 'un', 'concierto', 'de', 'Coldplay', 'o', 'si', 'no', 'me', 'da', 'algo', '!!']	['other', 'other', 'other', 'lang1', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	positive
5	#highfashion curso #chicModel para jóvenes de 13 años en adelante Imagen Modeling by la… https://t.co/pBmrlQq8DY	['#highfashion', 'curso', '#chicModel', 'para', 'jóvenes', 'de', '13', 'años', 'en', 'adelante', 'Imagen', 'Modeling', 'by', 'la', '…', 'https://t.co/pBmrlQq8DY']	['lang1', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang2', 'other', 'other']	positive
6	RT @EricYaell: Me canso de la gente rápido, no me gusta eso man	['RT', '@EricYaell', ':', 'Me', 'canso', 'de', 'la', 'gente', 'rápido', ',', 'no', 'me', 'gusta', 'eso', 'man']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1']	positive
7	Diablo mano yo me acabo de acordar que yo cuando era chiquito le pregunte a mi madre que era un orgasmo 😂 #thanksmommy	['Diablo', 'mano', 'yo', 'me', 'acabo', 'de', 'acordar', 'que', 'yo', 'cuando', 'era', 'chiquito', 'le', 'pregunte', 'a', 'mi', 'madre', 'que', 'era', 'un', 'orgasmo', '😂', '#thanksmommy']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1']	positive
8	Me voy a hacer una quesadilla bcs why not.	['Me', 'voy', 'a', 'hacer', 'una', 'quesadilla', 'bcs', 'why', 'not', '.']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'lang1', 'lang1', 'other']	positive
9	RT @pantoja__: yo no tengo un date desde el '99	"['RT', '@pantoja__', ':', 'yo', 'no', 'tengo', 'un', 'date', 'desde', 'el', ""'"", '99']"	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'other', 'other']	negative
10	RT @t0ucet: vivo en un constante *sigh*	['RT', '@t0ucet', ':', 'vivo', 'en', 'un', 'constante', '*', 'sigh', '*']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'other']	negative
