sentiment	positive
@_steffers24	other
cuz	lang1
its	lang1
so	lang1
easy	lang1
to	lang1
talk	lang1
to	lang1
you	lang1
,	other
muy	lang2
platicadora	lang2
🙅	other

sentiment	negative
Knock	lang1
it	lang1
off	lang1
:	other
Basta	lang2
ya	lang2
!	other
Knock	lang1
it	lang1
off	lang1
Snoopy	ne
,	other
I	lang1
do	lang1
n’t	lang1
want	lang1
to	lang1
get	lang1
licked	lang1
right	lang1
now	lang1
!	other

sentiment	positive
@crystal_jaimes	other
alright	lang1
ya	lang2
dijiste	lang2
!	other
;)	other
wait	lang1
mejor	lang2
friday	lang1
I	lang1
need	lang1
some	lang1
regeatton	lang1
!!!	other

sentiment	positive
@crystal_jaimes	other
@EricaYolli	other
get	lang1
ur	lang1
shine	lang1
on	lang1
:D	other
no	lang2
podras	lang2

sentiment	positive
Stop	lang1
and	lang1
smell	lang1
the	lang1
roses	lang1
:	other
Relájate	lang2
(	other
un	lang2
rato	lang2
)	other
y	lang2
disfruta	lang2
de	lang2
la	lang2
vida	lang2
Relax	lang1
,	other
remember	lang1
it	lang1
’s	lang1
okay	lang1
to	lang1
stop	lang1
and	lang1
smell	lang1
the	lang1
roses	lang1
once	lang1
in	lang1
awhile	lang1
.	other

sentiment	neutral
@elizaaaabethhh_	other
lol	lang1
no	lang2
pos	lang2
quien	lang2
sabe	lang2
!	other
Pero	lang2
eso	lang2
si	lang2
nomas	lang2
hay	lang2
3	other
personas	lang2
k	lang2
me	lang2
caen	lang2
mal	lang2
so	lang1
ni	lang2
les	lang2
hablo	lang2
!	other
Lol	lang1

sentiment	positive
Today	lang1
is	lang1
my	lang1
lucky	lang1
day	lang1
I	lang1
just	lang1
won	lang1
17$	other
on	lang1
loteria	lang2
..	other
ha	lang1

sentiment	neutral
Ta	lang2
enojada	lang2
porque	lang2
no	lang2
le	lang2
dije	lang2
goodnight	lang1
😁😘	other
@arelyyy_090812	other

sentiment	negative
@elizaaaabethhh_	other
lmao	lang1
its	lang1
funny	lang1
cause	lang1
primero	lang2
andan	lang2
hablando	lang2
d	lang2
