	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	word	pos_freq	neg_freq	neu_freq	freq
0	0	0	0	0	0	0	0	0	0	0	0	0	!	2200	415	887	3502
1	1	1	1	1	1	1	1	1	1	1	1	1	!!	1309	240	497	2046
2	2	2	2	2	2	2	2	2	2	2	2	2	!!!	98	64	30	192
3	3	3	3	3	3	3	3	3	3	3	3	3	!!!!	27	13	11	51
4	4	4	4	4	4	4	4	4	4	4	4	4	!!!!!	8	3	2	13
5	5	5	5	5	5	5	5	5	5	5	5	5	!!!!!!	2	1	0	3
6	6	6	6	6	6	6	6	6	6	6	6	6	!!!!!!!	3	1	0	4
7	7	7	7	7	7	7	7	7	7	7	7	7	!!!!!!!!!!	0	1	0	1
8	8	8	8	8	8	8	8	8	8	8	8	8	!!?	0	1	0	1
9	9	9	9	9	9	9	9	9	9	9	9	9	!!??	0	0	1	1
10	10	10	10	10	10	10	10	10	10	10	10	10	!,	0	0	1	1
11	11	11	11	11	11	11	11	11	11	11	11	11	!.	25	0	10	35
12	12	12	12	12	12	12	12	12	12	12	12	12	!..	3	0	0	3
13	13	13	13	13	13	13	13	13	13	13	13	13	!?	7	3	8	18
14	14	14	14	14	14	14	14	14	14	14	14	14	!?!?!?!	0	1	0	1
15	15	15	15	15	15	15	15	15	15	15	15	15	!?!?!?!?!?!	0	1	0	1
16	16	16	16	16	16	16	16	16	16	16	16	16	!…	10	0	5	15
17	17	17	17	17	17	17	17	17	17	17	17	17	""""	847	398	584	1829
18	18	18	18	18	18	18	18	18	18	18	18	18	""""""	3	1	2	6
19	19	19	19	19	19	19	19	19	19	19	19	19	"""”"	1	0	2	3
20	20	20	20	20	20	20	20	20	20	20	20	20	$	29	0	15	44
21	21	21	21	21	21	21	21	21	21	21	21	21	$$$	1	0	1	2
22	22	22	22	22	22	22	22	22	22	22	22	22	$1	4	0	0	4
23	23	23	23	23	23	23	23	23	23	23	23	23	$1.09	0	1	0	1
24	24	24	24	24	24	24	24	24	24	24	24	24	$10	2	1	0	3
25	25	25	25	25	25	25	25	25	25	25	25	25	$10.00	1	0	1	2
26	26	26	26	26	26	26	26	26	26	26	26	26	$100	2	0	1	3
27	27	27	27	27	27	27	27	27	27	27	27	27	$105	1	0	0	1
28	28	28	28	28	28	28	28	28	28	28	28	28	$11.50	0	0	1	1
29	29	29	29	29	29	29	29	29	29	29	29	29	$11.90	1	0	1	2
30	30	30	30	30	30	30	30	30	30	30	30	30	$12	0	0	1	1
31	31	31	31	31	31	31	31	31	31	31	31	31	$129.99	1	0	0	1
32	32	32	32	32	32	32	32	32	32	32	32	32	$15	0	0	1	1
33	33	33	33	33	33	33	33	33	33	33	33	33	$15.00	0	0	2	2
34	34	34	34	34	34	34	34	34	34	34	34	34	$160/mes	1	0	0	1
35	35	35	35	35	35	35	35	35	35	35	35	35	$19.80	2	0	0	2
36	36	36	36	36	36	36	36	36	36	36	36	36	$19.90	1	0	0	1
37	37	37	37	37	37	37	37	37	37	37	37	37	$2	2	1	1	4
38	38	38	38	38	38	38	38	38	38	38	38	38	$20	3	2	0	5
39	39	39	39	39	39	39	39	39	39	39	39	39	$20.00	11	0	2	13
40	40	40	40	40	40	40	40	40	40	40	40	40	$200	2	0	0	2
41	41	41	41	41	41	41	41	41	41	41	41	41	$22	1	0	0	1
42	42	42	42	42	42	42	42	42	42	42	42	42	$225	1	0	0	1
43	43	43	43	43	43	43	43	43	43	43	43	43	$23.50	1	0	0	1
44	44	44	44	44	44	44	44	44	44	44	44	44	$234.56	1	0	0	1
45	45	45	45	45	45	45	45	45	45	45	45	45	$24	0	1	0	1
46	46	46	46	46	46	46	46	46	46	46	46	46	$24.70	1	0	1	2
47	47	47	47	47	47	47	47	47	47	47	47	47	$24.90	2	0	1	3
48	48	48	48	48	48	48	48	48	48	48	48	48	$240	1	0	0	1
49	49	49	49	49	49	49	49	49	49	49	49	49	$25	7	0	2	9
50	50	50	50	50	50	50	50	50	50	50	50	50	$25•	1	0	0	1
51	51	51	51	51	51	51	51	51	51	51	51	51	$28.00	1	0	0	1
52	52	52	52	52	52	52	52	52	52	52	52	52	$2🔥	1	0	0	1
53	53	53	53	53	53	53	53	53	53	53	53	53	$3	1	1	0	2
54	54	54	54	54	54	54	54	54	54	54	54	54	$3.50	1	0	0	1
55	55	55	55	55	55	55	55	55	55	55	55	55	$3.99	1	0	0	1
56	56	56	56	56	56	56	56	56	56	56	56	56	$300	0	0	1	1
57	57	57	57	57	57	57	57	57	57	57	57	57	$34.00	2	0	0	2
58	58	58	58	58	58	58	58	58	58	58	58	58	$35	0	1	0	1
59	59	59	59	59	59	59	59	59	59	59	59	59	$350	1	0	0	1
60	60	60	60	60	60	60	60	60	60	60	60	60	$4	1	0	1	2
61	61	61	61	61	61	61	61	61	61	61	61	61	$4.25	1	0	0	1
62	62	62	62	62	62	62	62	62	62	62	62	62	$4.90	1	0	0	1
63	63	63	63	63	63	63	63	63	63	63	63	63	$45	2	0	0	2
64	64	64	64	64	64	64	64	64	64	64	64	64	$5	2	0	2	4
65	65	65	65	65	65	65	65	65	65	65	65	65	$50	1	0	2	3
66	66	66	66	66	66	66	66	66	66	66	66	66	$500	0	1	1	2
67	67	67	67	67	67	67	67	67	67	67	67	67	$6.50	0	1	0	1
68	68	68	68	68	68	68	68	68	68	68	68	68	$60	1	0	0	1
69	69	69	69	69	69	69	69	69	69	69	69	69	$7	1	0	0	1
70	70	70	70	70	70	70	70	70	70	70	70	70	$7.25	1	0	0	1
71	71	71	71	71	71	71	71	71	71	71	71	71	$7.90	1	0	0	1
72	72	72	72	72	72	72	72	72	72	72	72	72	$70.00	1	1	0	2
73	73	73	73	73	73	73	73	73	73	73	73	73	$8	0	0	1	1
74	74	74	74	74	74	74	74	74	74	74	74	74	$82	0	0	1	1
75	75	75	75	75	75	75	75	75	75	75	75	75	$9	0	1	0	1
76	76	76	76	76	76	76	76	76	76	76	76	76	$9.90	1	0	0	1
77	77	77	77	77	77	77	77	77	77	77	77	77	$90	0	1	0	1
78	78	78	78	78	78	78	78	78	78	78	78	78	%	1	0	1	2
79	79	79	79	79	79	79	79	79	79	79	79	79	%off	0	0	1	1
80	80	80	80	80	80	80	80	80	80	80	80	80	&	127	20	66	213
81	81	81	81	81	81	81	81	81	81	81	81	81	&dot	1	0	0	1
82	82	82	82	82	82	82	82	82	82	82	82	82	&willow	1	0	0	1
83	83	83	83	83	83	83	83	83	83	83	83	83	&€	1	0	0	1
84	84	84	84	84	84	84	84	84	84	84	84	84	'	111	61	84	256
85	85	85	85	85	85	85	85	85	85	85	85	85	''	4	0	0	4
86	86	86	86	86	86	86	86	86	86	86	86	86	'''''	0	1	0	1
87	87	87	87	87	87	87	87	87	87	87	87	87	'DD	1	0	0	1
88	88	88	88	88	88	88	88	88	88	88	88	88	'Donell	1	0	0	1
89	89	89	89	89	89	89	89	89	89	89	89	89	'Ehh	0	0	1	1
90	90	90	90	90	90	90	90	90	90	90	90	90	'M	1	0	1	2
91	91	91	91	91	91	91	91	91	91	91	91	91	'RE	2	0	1	3
92	92	92	92	92	92	92	92	92	92	92	92	92	'Rey	0	1	0	1
93	93	93	93	93	93	93	93	93	93	93	93	93	'Rod	0	0	1	1
94	94	94	94	94	94	94	94	94	94	94	94	94	'S	3	0	1	4
95	95	95	95	95	95	95	95	95	95	95	95	95	'S!!!	1	0	0	1
96	96	96	96	96	96	96	96	96	96	96	96	96	'a	1	1	2	4
97	97	97	97	97	97	97	97	97	97	97	97	97	'all	9	5	7	21
98	98	98	98	98	98	98	98	98	98	98	98	98	'all!	1	0	0	1
99	99	99	99	99	99	99	99	99	99	99	99	99	'as	1	1	1	3
100	100	100	100	100	100	100	100	100	100	100	100	100	'avía	1	0	0	1
101	101	101	101	101	101	101	101	101	101	101	101	101	'cheaaa	0	1	0	1
102	102	102	102	102	102	102	102	102	102	102	102	102	'clock	2	0	0	2
103	103	103	103	103	103	103	103	103	103	103	103	103	'd	5	0	5	10
104	104	104	104	104	104	104	104	104	104	104	104	104	'donell	2	0	1	3
105	105	105	105	105	105	105	105	105	105	105	105	105	'doquiera	0	1	0	1
106	106	106	106	106	106	106	106	106	106	106	106	106	'e	2	1	0	3
107	107	107	107	107	107	107	107	107	107	107	107	107	'est	1	0	0	1
108	108	108	108	108	108	108	108	108	108	108	108	108	'fuck	0	1	0	1
109	109	109	109	109	109	109	109	109	109	109	109	109	'ita	1	0	0	1
110	110	110	110	110	110	110	110	110	110	110	110	110	'itas	0	0	1	1
111	111	111	111	111	111	111	111	111	111	111	111	111	'itos	0	1	0	1
112	112	112	112	112	112	112	112	112	112	112	112	112	'jeso	0	1	1	2
113	113	113	113	113	113	113	113	113	113	113	113	113	'l	10	10	3	23
114	114	114	114	114	114	114	114	114	114	114	114	114	'la	1	0	0	1
115	115	115	115	115	115	115	115	115	115	115	115	115	'lante	1	0	0	1
116	116	116	116	116	116	116	116	116	116	116	116	116	'll	26	5	14	45
117	117	117	117	117	117	117	117	117	117	117	117	117	'lo	4	0	2	6
118	118	118	118	118	118	118	118	118	118	118	118	118	'm	60	46	47	153
119	119	119	119	119	119	119	119	119	119	119	119	119	'n	1	0	1	2
120	120	120	120	120	120	120	120	120	120	120	120	120	'o	3	4	7	14
121	121	121	121	121	121	121	121	121	121	121	121	121	'oooo!!!	0	1	0	1
122	122	122	122	122	122	122	122	122	122	122	122	122	'or	1	0	0	1
123	123	123	123	123	123	123	123	123	123	123	123	123	'os	2	1	1	4
124	124	124	124	124	124	124	124	124	124	124	124	124	'r	1	0	0	1
125	125	125	125	125	125	125	125	125	125	125	125	125	're	22	10	13	45
126	126	126	126	126	126	126	126	126	126	126	126	126	'rriba	1	0	0	1
127	127	127	127	127	127	127	127	127	127	127	127	127	's	162	47	62	271
128	128	128	128	128	128	128	128	128	128	128	128	128	's!	1	0	1	2
129	129	129	129	129	129	129	129	129	129	129	129	129	's!!!	0	0	1	1
130	130	130	130	130	130	130	130	130	130	130	130	130	's(Guaynabo	1	0	0	1
131	131	131	131	131	131	131	131	131	131	131	131	131	's:	0	0	1	1
132	132	132	132	132	132	132	132	132	132	132	132	132	's=]	1	0	0	1
133	133	133	133	133	133	133	133	133	133	133	133	133	'stoy	1	0	0	1
134	134	134	134	134	134	134	134	134	134	134	134	134	'u	2	0	5	7
135	135	135	135	135	135	135	135	135	135	135	135	135	've	21	6	4	31
136	136	136	136	136	136	136	136	136	136	136	136	136	've:(	1	0	0	1
137	137	137	137	137	137	137	137	137	137	137	137	137	'yaaaa	0	1	0	1
138	138	138	138	138	138	138	138	138	138	138	138	138	(	245	78	148	471
139	139	139	139	139	139	139	139	139	139	139	139	139	(':	2	0	0	2
140	140	140	140	140	140	140	140	140	140	140	140	140	(((((	0	1	0	1
141	141	141	141	141	141	141	141	141	141	141	141	141	(0.0)	0	0	1	1
142	142	142	142	142	142	142	142	142	142	142	142	142	(8	1	0	0	1
143	143	143	143	143	143	143	143	143	143	143	143	143	(:	9	1	2	12
144	144	144	144	144	144	144	144	144	144	144	144	144	(;	24	2	2	28
145	145	145	145	145	145	145	145	145	145	145	145	145	(=	3	0	0	3
146	146	146	146	146	146	146	146	146	146	146	146	146	(?)	0	1	0	1
147	147	147	147	147	147	147	147	147	147	147	147	147	(x	2	0	0	2
148	148	148	148	148	148	148	148	148	148	148	148	148	(•	1	0	0	1
149	149	149	149	149	149	149	149	149	149	149	149	149	(📸	0	0	2	2
150	150	150	150	150	150	150	150	150	150	150	150	150	)	148	66	136	350
151	151	151	151	151	151	151	151	151	151	151	151	151	)(•	1	0	0	1
152	152	152	152	152	152	152	152	152	152	152	152	152	))	4	0	0	4
153	153	153	153	153	153	153	153	153	153	153	153	153	):	14	2	21	37
154	154	154	154	154	154	154	154	154	154	154	154	154	);	0	1	0	1
155	155	155	155	155	155	155	155	155	155	155	155	155	*	70	44	36	150
156	156	156	156	156	156	156	156	156	156	156	156	156	**	2	0	1	3
157	157	157	157	157	157	157	157	157	157	157	157	157	***	0	0	1	1
158	158	158	158	158	158	158	158	158	158	158	158	158	****	0	1	1	2
159	159	159	159	159	159	159	159	159	159	159	159	159	**🎉🎉	1	0	0	1
160	160	160	160	160	160	160	160	160	160	160	160	160	*-*	2	0	0	2
161	161	161	161	161	161	161	161	161	161	161	161	161	*.*	1	0	0	1
162	162	162	162	162	162	162	162	162	162	162	162	162	*deep	1	0	0	1
163	163	163	163	163	163	163	163	163	163	163	163	163	*storms	0	1	0	1
164	164	164	164	164	164	164	164	164	164	164	164	164	*😺CATast	0	0	1	1
165	165	165	165	165	165	165	165	165	165	165	165	165	+	27	3	20	50
166	166	166	166	166	166	166	166	166	166	166	166	166	+1	0	0	1	1
167	167	167	167	167	167	167	167	167	167	167	167	167	+Ahora	0	0	1	1
168	168	168	168	168	168	168	168	168	168	168	168	168	+De	0	0	1	1
169	169	169	169	169	169	169	169	169	169	169	169	169	+There's	0	0	1	1
170	170	170	170	170	170	170	170	170	170	170	170	170	+en	1	0	0	1
171	171	171	171	171	171	171	171	171	171	171	171	171	+¿	0	0	1	1
172	172	172	172	172	172	172	172	172	172	172	172	172	,	1728	740	1233	3701
173	173	173	173	173	173	173	173	173	173	173	173	173	,.,.,	0	1	0	1
174	174	174	174	174	174	174	174	174	174	174	174	174	,..	1	0	0	1
175	175	175	175	175	175	175	175	175	175	175	175	175	,?	1	0	0	1
176	176	176	176	176	176	176	176	176	176	176	176	176	,…	8	1	4	13
177	177	177	177	177	177	177	177	177	177	177	177	177	-	163	35	118	316
178	178	178	178	178	178	178	178	178	178	178	178	178	--	7	0	4	11
179	179	179	179	179	179	179	179	179	179	179	179	179	-.	3	6	3	12
180	180	180	180	180	180	180	180	180	180	180	180	180	-.-	7	33	9	49
181	181	181	181	181	181	181	181	181	181	181	181	181	"-.-"""	0	1	0	1
182	182	182	182	182	182	182	182	182	182	182	182	182	-10	1	1	0	2
183	183	183	183	183	183	183	183	183	183	183	183	183	-11	0	0	1	1
184	184	184	184	184	184	184	184	184	184	184	184	184	-15	0	1	0	1
185	185	185	185	185	185	185	185	185	185	185	185	185	-151	1	0	0	1
186	186	186	186	186	186	186	186	186	186	186	186	186	-2	2	1	0	3
187	187	187	187	187	187	187	187	187	187	187	187	187	-5$	0	0	1	1
188	188	188	188	188	188	188	188	188	188	188	188	188	-6	1	0	0	1
189	189	189	189	189	189	189	189	189	189	189	189	189	->	13	0	8	21
190	190	190	190	190	190	190	190	190	190	190	190	190	-Alcohol	0	0	1	1
191	191	191	191	191	191	191	191	191	191	191	191	191	-Alto	0	0	1	1
192	192	192	192	192	192	192	192	192	192	192	192	192	-Antoine	1	0	0	1
193	193	193	193	193	193	193	193	193	193	193	193	193	-Blusa	1	0	0	1
194	194	194	194	194	194	194	194	194	194	194	194	194	-Camping	0	1	0	1
195	195	195	195	195	195	195	195	195	195	195	195	195	-Carolina	0	0	1	1
196	196	196	196	196	196	196	196	196	196	196	196	196	-Cristina	0	0	1	1
197	197	197	197	197	197	197	197	197	197	197	197	197	-Cuando	1	0	0	1
198	198	198	198	198	198	198	198	198	198	198	198	198	-DESCARGAR	0	0	1	1
199	199	199	199	199	199	199	199	199	199	199	199	199	-De	0	0	1	1
200	200	200	200	200	200	200	200	200	200	200	200	200	-Dog	0	0	1	1
201	201	201	201	201	201	201	201	201	201	201	201	201	-ESCUCHAR	0	0	1	1
202	202	202	202	202	202	202	202	202	202	202	202	202	-El	1	0	0	1
203	203	203	203	203	203	203	203	203	203	203	203	203	-Estoy	0	0	1	1
204	204	204	204	204	204	204	204	204	204	204	204	204	-Gaby	0	0	1	1
205	205	205	205	205	205	205	205	205	205	205	205	205	-Goku	1	0	0	1
206	206	206	206	206	206	206	206	206	206	206	206	206	-Hoy	1	0	1	2
207	207	207	207	207	207	207	207	207	207	207	207	207	-Internet	2	0	0	2
208	208	208	208	208	208	208	208	208	208	208	208	208	-Junio	0	0	1	1
209	209	209	209	209	209	209	209	209	209	209	209	209	-LOCA	0	0	1	1
210	210	210	210	210	210	210	210	210	210	210	210	210	-Maxifalda	1	0	0	1
211	211	211	211	211	211	211	211	211	211	211	211	211	-NPI	0	0	1	1
212	212	212	212	212	212	212	212	212	212	212	212	212	-New	0	0	1	1
213	213	213	213	213	213	213	213	213	213	213	213	213	-Ni	1	0	0	1
214	214	214	214	214	214	214	214	214	214	214	214	214	-Prendí	0	0	1	1
215	215	215	215	215	215	215	215	215	215	215	215	215	-Quien	1	0	0	1
216	216	216	216	216	216	216	216	216	216	216	216	216	-R	0	0	1	1
217	217	217	217	217	217	217	217	217	217	217	217	217	-RT	0	0	1	1
218	218	218	218	218	218	218	218	218	218	218	218	218	-SAY	0	0	1	1
219	219	219	219	219	219	219	219	219	219	219	219	219	-SENIOR	1	0	0	1
220	220	220	220	220	220	220	220	220	220	220	220	220	-SJ	0	0	1	1
221	221	221	221	221	221	221	221	221	221	221	221	221	-Seguir	0	0	3	3
222	222	222	222	222	222	222	222	222	222	222	222	222	-Y	1	0	0	1
223	223	223	223	223	223	223	223	223	223	223	223	223	-_-	2	5	1	8
224	224	224	224	224	224	224	224	224	224	224	224	224	-__	0	1	0	1
225	225	225	225	225	225	225	225	225	225	225	225	225	-__-	0	3	1	4
226	226	226	226	226	226	226	226	226	226	226	226	226	-___-	0	1	0	1
227	227	227	227	227	227	227	227	227	227	227	227	227	-ah	0	0	1	1
228	228	228	228	228	228	228	228	228	228	228	228	228	-amazing	1	0	0	1
229	229	229	229	229	229	229	229	229	229	229	229	229	-ana	1	0	0	1
230	230	230	230	230	230	230	230	230	230	230	230	230	-angélica	0	0	1	1
231	231	231	231	231	231	231	231	231	231	231	231	231	-anime	1	0	0	1
232	232	232	232	232	232	232	232	232	232	232	232	232	-avanza	0	1	0	1
233	233	233	233	233	233	233	233	233	233	233	233	233	-bella	1	0	0	1
234	234	234	234	234	234	234	234	234	234	234	234	234	-bichita	1	0	0	1
235	235	235	235	235	235	235	235	235	235	235	235	235	-blusa	1	0	0	1
236	236	236	236	236	236	236	236	236	236	236	236	236	-books	0	0	1	1
237	237	237	237	237	237	237	237	237	237	237	237	237	-booty	0	0	1	1
238	238	238	238	238	238	238	238	238	238	238	238	238	-braulio	1	0	0	1
